NR_ZONA;NR_SECAO;NM_VOTAVEL;QT_VOTOS;NM_LOCAL_VOTACAO;DS_LOCAL_VOTACAO_ENDERECO
16;130;WELLINGTON LUIZ DE SOUZA SILVA;7;ESCOLA CLASSE 34;EQNP 17/13 - SETOR P NORTE
21;16;WELLINGTON LUIZ DE SOUZA SILVA;7;CENTRO DE ENSINO FUNDAMENTAL 405 DO RECANTO DAS EMAS;QD 405 CONJUNTO 15 LOTE 01 AE
15;315;WELLINGTON LUIZ DE SOUZA SILVA;7;CEF N 15;QSA 03/04 AREA ESPECIAL
13;584;WELLINGTON LUIZ DE SOUZA SILVA;7;ESCOLA CLASSE 403;QN 403/405  AREA ESPECIAL
9;213;WELLINGTON LUIZ DE SOUZA SILVA;7;CENTRO DE ENSINO FUNDAMENTAL 10;QE 46 AE 05
9;185;WELLINGTON LUIZ DE SOUZA SILVA;7;CENTRO EDUCACIONAL 1;EQ 34/36 AE B
13;390;WELLINGTON LUIZ DE SOUZA SILVA;7;ESCOLA CLASSE 431;QS 431 AE 01
21;193;WELLINGTON LUIZ DE SOUZA SILVA;7;CENTRO DE ENSINO MEDIO 804 DO RECANTO DAS EMAS;QD 804 AREA ESPECIAL 01
17;328;WELLINGTON LUIZ DE SOUZA SILVA;7;CENTRO EDUCACIONAL 06 DO GAMA;EQ 02/07 A.E. S.LESTE
16;101;WELLINGTON LUIZ DE SOUZA SILVA;7;ESCOLA CLASSE 62;QNQ 01 - AREA ESPECIAL
3;407;WELLINGTON LUIZ DE SOUZA SILVA;7;ESCOLA CLASSE 55;QNL 28 AREA ESPECIAL 27
10;210;WELLINGTON LUIZ DE SOUZA SILVA;7;CENTRO EDUCATIVO PASSIONISTA A DA SANTA C;QN 05 AE 02 - RIACHO FUNDO I
9;244;WELLINGTON LUIZ DE SOUZA SILVA;7;COLEGIO ROGACIONISTA;AREA ESPECIAL 08 MODULO B
16;243;WELLINGTON LUIZ DE SOUZA SILVA;7;ESCOLA CLASSE 65;QNR 02 - AREA ESPECIAL 04
8;622;WELLINGTON LUIZ DE SOUZA SILVA;7;ESCOLA CLASSE 07 ( CEF 35 );EQNN 01/03
9;437;WELLINGTON LUIZ DE SOUZA SILVA;7;ESCOLA TECNICA DO GUARA - CEPAG / GUARA II;EQE 19/17 - LOTE A - GUARA II
21;17;WELLINGTON LUIZ DE SOUZA SILVA;7;CENTRO DE ENSINO FUNDAMENTAL 405 DO RECANTO DAS EMAS;QD 405 CONJUNTO 15 LOTE 01 AE
17;299;WELLINGTON LUIZ DE SOUZA SILVA;7;ESCOLA CLASSE 03 DO GAMA;E/Q 10/15 - AE SETOR LESTE
3;642;WELLINGTON LUIZ DE SOUZA SILVA;7;CENTRO DE EDUCACAO INFANTIL 05;EQNJ 23/25 AREA ESPECIAL
